id,nombre,identidad,alias,inteligencia,fuerza,velocidad,poder,genero,raza,altura_mts,peso_kg,color_ojos,color_pelo,alineacion,empresa
1,A-Bomb,Desconocido,Rick Jones,38,100,17,24,Masculino,Human,2.03,441,Yellow,No Hair,good,Marvel Comics
2,Abe Sapien,Desconocido,Langdon Caul,88,28,35,100,Masculino,Icthyo Sapien,1.91,65,Blue,No Hair,good,Dark Horse Comics
3,Abin Sur,Desconocido,Lagzia,50,90,53,99,Masculino,Ungaran,1.85,90,Blue,No Hair,good,DC Comics
4,Abomination,Desconocido,Ravager of Worlds,63,80,53,62,Masculino,Human / Radiation,2.03,441,Green,No Hair,bad,Marvel Comics
5,Abraxas,Desconocido,No Tiene,88,63,83,100,Masculino,Cosmic Entity,0.0,0,Blue,Black,bad,Marvel Comics
6,Absorbing Man,Desconocido,Lightningbolt,38,80,25,98,Masculino,Human,1.93,122,Blue,No Hair,bad,Marvel Comics
7,Adam Monroe,Desconocido,Takezo Kensei,63,10,12,100,Masculino,-,0.0,0,Blue,Blond,good,NBC - Heroes
8,Adam Strange,Desconocido,Savior of Rann,69,10,33,37,Masculino,Human,1.85,88,Blue,Blond,good,DC Comics
10,Agent Bob,Desconocido,Bob,10,8,13,5,Masculino,Human,1.78,81,Brown,Brown,good,Marvel Comics
11,Agent Zero,Desconocido,Maverick,75,28,38,72,Masculino,-,1.91,104,-,-,good,Marvel Comics
12,Air-Walker,Desconocido,No Tiene,50,85,100,100,Masculino,-,1.88,108,Blue,White,bad,Marvel Comics
13,Ajax,Desconocido,the A-Man,56,48,35,34,Masculino,Cyborg,1.93,90,Brown,Black,bad,Marvel Comics
14,Alan Scott,Desconocido,Green Lantern,63,80,23,100,Masculino,-,1.8,90,Blue,Blond,good,DC Comics
15,Alex Mercer,Desconocido,Blacklight,50,80,42,100,Masculino,Human,0.0,0,-,-,bad,Wildstorm
17,Alfred Pennyworth,Desconocido,Alfred Beagle,63,10,17,7,Masculino,Human,1.78,72,Blue,Black,good,DC Comics
18,Alien,Desconocido,No Tiene,50,28,42,57,Masculino,Xenomorph XX121,2.44,169,-,No Hair,bad,Dark Horse Comics
20,Amazo,Desconocido,Hourmazo,63,100,83,100,Masculino,Android,2.57,173,Red,-,bad,DC Comics
23,Angel,Desconocido,Twilight,75,30,58,100,Masculino,Vampire,0.0,0,-,-,good,Dark Horse Comics
24,Angel,Desconocido,Formerly Death,63,13,46,28,Masculino,-,1.83,68,Blue,Blond,good,Archangel
25,Angel Dust,Desconocido,Dusty,38,55,23,17,Femenino,Mutant,1.65,57,Yellow,Black,good,Marvel Comics
26,Angel Salvadore,Desconocido,Tempest,38,10,28,56,Femenino,-,1.63,54,Brown,Black,good,Tempest
28,Animal Man,Desconocido,The Human Zoo; A-Man; The Man with Animal Powers,56,48,47,73,Masculino,Human,1.83,83,Blue,Blond,good,DC Comics
29,Annihilus,Desconocido,Lord of the Negative Zone,75,80,47,59,Masculino,-,1.8,90,Green,No Hair,bad,Marvel Comics
30,Ant-Man,Desconocido,Goliath,100,18,23,32,Masculino,Human,2.11,122,Blue,Blond,good,Giant-Man
31,Ant-Man II,Desconocido,Myrmidon,75,18,17,53,Masculino,Human,1.83,86,Blue,Blond,good,Marvel Comics
32,Anti-Monitor,Desconocido,Monitor,88,100,50,100,Masculino,God / Eternal,61.0,0,Yellow,No Hair,bad,DC Comics
34,Anti-Venom,Desconocido,Venom,75,60,65,96,Masculino,Symbiote,2.29,358,Blue,Blond,-,Toxin
35,Apocalypse,Desconocido,Sauru,100,100,33,100,Masculino,Mutant,2.13,135,Red,Black,bad,Marvel Comics
36,Aquababy,Desconocido,No Tiene,10,16,12,37,Masculino,-,0.0,0,Blue,Blond,good,DC Comics
37,Aqualad,Desconocido,No Tiene,63,44,42,89,Masculino,Atlantean,1.78,106,Blue,Black,good,DC Comics
38,Aquaman,Desconocido,Water Wraith,81,85,79,100,Masculino,Atlantean,1.85,146,Blue,Blond,good,DC Comics
39,Arachne,Desconocido,Madame Web,50,48,50,71,Femenino,Human,1.75,63,Blue,Blond,good,Marvel Comics
40,Archangel,Desconocido,War,63,13,58,35,Masculino,Mutant,1.83,68,Blue,Blond,good,Angel
41,Arclight,Desconocido,No Tiene,38,63,23,52,Femenino,-,1.73,57,Violet,Purple,bad,Marvel Comics
42,Ardina,Desconocido,No Tiene,63,100,100,100,Femenino,Alien,1.93,98,White,Orange,good,Marvel Comics
43,Ares,Desconocido,Mars,75,82,35,84,Masculino,-,1.85,270,Brown,Brown,good,Marvel Comics
44,Ariel,Desconocido,No Tiene,50,10,12,94,Femenino,-,1.65,59,Purple,Pink,good,Marvel Comics
45,Armor,Desconocido,Kid,50,63,12,55,Femenino,-,1.63,50,Black,Black,good,Marvel Comics
48,Atlas,Desconocido,Goliath,63,80,25,98,Masculino,Mutant,1.83,101,Brown,Red,good,Goliath
49,Atlas,Desconocido,Atlas the Untamed,63,100,42,27,Masculino,God / Eternal,1.98,126,Blue,Brown,bad,DC Comics
52,Atom Girl,Desconocido,Shrinking Violet,38,10,23,38,Femenino,-,1.68,54,Black,Black,good,DC Comics
53,Atom II,Desconocido,the World's Smallest Hero,88,10,33,40,Masculino,Human,1.83,81,Brown,Auburn,good,DC Comics
56,Aurora,Desconocido,Sister Beaubier,63,10,96,74,Femenino,Mutant,1.8,63,Blue,Black,good,Marvel Comics
57,Azazel,Desconocido,Beelzebub,50,11,47,100,Masculino,Neyaphem,1.83,67,Yellow,Black,bad,Marvel Comics
58,Azrael,Desconocido,Bat-Devil; Bat-Ghost,63,18,17,35,Masculino,Human,0.0,0,Brown,Black,good,DC Comics
60,Bane,Desconocido,No Tiene,88,38,23,51,Masculino,Human,2.03,180,-,-,bad,DC Comics
61,Banshee,Desconocido,Death,50,10,58,63,Masculino,Human,1.83,77,Green,Strawberry Blond,good,Marvel Comics
62,Bantam,Desconocido,No Tiene,25,53,23,21,Masculino,-,1.65,54,Brown,Black,good,Marvel Comics
63,Batgirl,Desconocido,Bluebelle,88,11,33,34,Femenino,Human,1.7,57,Green,Red,good,Oracle
66,Batgirl IV,Desconocido,Kasumi,69,12,27,46,Femenino,Human,1.65,52,Green,Black,good,DC Comics
68,Batgirl VI,Desconocido,Robin,75,10,23,22,Femenino,-,1.68,61,Blue,Blond,good,Spoiler
69,Batman,Desconocido,Batman Beyond,81,40,29,63,Masculino,Human,1.78,77,Blue,Black,good,DC Comics
70,Batman,Desconocido,Insider,100,26,27,47,Masculino,Human,1.88,95,blue,black,good,DC Comics
71,Batman II,Desconocido,Dick Grayson,88,11,33,36,Masculino,Human,1.78,79,Blue,Black,good,Nightwing
72,Battlestar,Desconocido,Bucky,50,53,35,48,Masculino,-,1.98,133,Brown,Black,good,Marvel Comics
73,Batwoman V,Desconocido,No Tiene,81,8,29,27,Femenino,Human,1.78,0,Green,Red,good,DC Comics
75,Beast,Desconocido,Mutate #666,94,48,38,43,Masculino,Mutant,1.8,181,Blue,Blue,good,Marvel Comics
76,Beast Boy,Desconocido,Tork,50,28,50,79,Masculino,Human,1.73,68,Green,Green,good,DC Comics
78,Ben 10,Desconocido,Ben Ten,10,7,8,90,Masculino,-,0.0,0,-,-,good,DC Comics
79,Beta Ray Bill,Desconocido,Simon Walters,63,80,35,100,Masculino,-,2.01,216,-,No Hair,good,Marvel Comics
80,Beyonder,Desconocido,Goblin Force,100,100,100,100,Masculino,God / Eternal,0.0,0,-,-,good,Marvel Comics
81,Big Barda,Desconocido,the Strongest Woman in the World,88,100,79,100,Femenino,New God,1.88,135,Blue,Black,bad,DC Comics
82,Big Daddy,Desconocido,No Tiene,38,10,12,22,Masculino,-,0.0,0,-,-,good,Icon Comics
83,Big Man,Desconocido,Patch,75,12,23,19,Masculino,-,1.65,71,Blue,Brown,bad,Marvel Comics
84,Bill Harken,Desconocido,No Tiene,63,36,33,27,Masculino,Alpha,0.0,0,-,-,good,SyFy
87,Bionic Woman,Desconocido,Clarissa Whyte,56,37,33,20,Femenino,Cyborg,0.0,0,Blue,Black,good,
88,Bird-Brain,Desconocido,Bird-Boy,25,10,35,21,No-Binario,-,0.0,0,-,-,good,Marvel Comics
92,Bishop,Desconocido,Archbishop,63,14,23,100,Masculino,Mutant,1.98,124,Brown,No Hair,good,Marvel Comics
93,Bizarro,Desconocido,No Tiene,38,95,100,100,Masculino,Bizarro,1.91,155,Black,Black,neutral,DC Comics
95,Black Adam,Desconocido,Mighty Adam,88,100,92,100,Masculino,-,1.91,113,Brown,Black,bad,DC Comics
96,Black Bolt,Desconocido,No Tiene,75,67,100,100,Masculino,Inhuman,1.88,95,Blue,Black,good,Marvel Comics
97,Black Canary,Desconocido,Dinah Laurel Lance Queen; Dinah Laurel Lance-Windrow,63,8,33,52,Femenino,Metahuman,1.7,59,Blue,Blond,good,DC Comics
98,Black Canary,Desconocido,No Tiene,63,8,33,45,Femenino,Human,1.65,58,Blue,Blond,good,DC Comics
99,Black Cat,Desconocido,Felicity Harmon,75,16,33,23,Femenino,Human,1.78,54,Green,Blond,good,Marvel Comics
100,Black Flash,Desconocido,Death Flash,44,10,100,100,Masculino,God / Eternal,0.0,0,-,-,neutral,DC Comics
102,Black Knight III,Desconocido,Eobar Garrington,63,10,8,43,Masculino,Human,1.83,86,Brown,Brown,good,Marvel Comics
103,Black Lightning,Desconocido,No Tiene,50,11,53,70,Masculino,-,1.85,90,Brown,No Hair,good,DC Comics
104,Black Mamba,Desconocido,Tanya Sweet,75,10,35,88,Femenino,-,1.7,52,Green,Black,bad,Marvel Comics
105,Black Manta,Desconocido,Yellow Lantern,75,28,50,76,Masculino,Human,1.88,92,Black,No Hair,bad,DC Comics
106,Black Panther,Desconocido,Luke Charles,88,16,30,41,Masculino,Human,1.83,90,Brown,Black,good,Marvel Comics
107,Black Widow,Desconocido,Ebon Flame,75,13,33,36,Femenino,Human,1.7,59,Green,Auburn,good,Marvel Comics
109,Blackout,Desconocido,No Tiene,63,32,45,45,Masculino,Demon,1.91,104,Red,White,bad,Marvel Comics
110,Blackwing,Desconocido,Guiseppi Manfredi,38,10,35,20,Masculino,-,1.85,86,Blue,Black,bad,Marvel Comics
111,Blackwulf,Desconocido,Black Wolf,50,28,8,69,Masculino,Alien,1.88,88,Red,White,-,Marvel Comics
112,Blade,Desconocido,Daywalker,63,28,38,40,Masculino,Vampire,1.88,97,Brown,Black,good,Marvel Comics
114,Bling!,Desconocido,No Tiene,69,14,12,52,Femenino,-,1.68,68,-,-,good,Marvel Comics
115,Blink,Desconocido,No Tiene,50,8,20,77,Femenino,Mutant,1.65,56,Green,Magenta,good,Marvel Comics
118,Blizzard II,Desconocido,No Tiene,38,10,27,47,Masculino,-,1.75,77,Brown,Brown,bad,Marvel Comics
119,Blob,Desconocido,No Tiene,10,83,23,28,Masculino,-,1.78,230,Brown,Brown,bad,Marvel Comics
120,Bloodaxe,Desconocido,No Tiene,63,80,33,100,Femenino,Human,2.18,495,Blue,Brown,bad,Marvel Comics
121,Bloodhawk,Desconocido,Lemuel Halcon,50,10,50,80,Masculino,Mutant,0.0,0,Black,No Hair,good,Marvel Comics
126,Blue Beetle III,Desconocido,Scooter,50,34,58,100,Masculino,Human,0.0,0,Brown,Black,good,DC Comics
127,Boba Fett,Desconocido,Mandalore,63,10,38,68,Masculino,Human / Clone,1.83,0,Brown,Black,bad,George Lucas
130,Boom-Boom,Desconocido,Firecracker,38,10,12,57,Femenino,Mutant,1.65,55,Blue,Blond,good,Meltdown
135,Box IV,Desconocido,Gemini,50,75,23,11,No-Binario,-,0.0,0,Brown,Brown / Black,good,Gemini V
136,Brainiac,Desconocido,Milton Fine,100,95,63,60,Masculino,Android,1.98,135,Green,No Hair,bad,DC Comics
137,Brainiac 5,Desconocido,No Tiene,100,10,23,60,Masculino,-,1.7,61,Green,Blond,good,DC Comics
139,Brundlefly,Desconocido,The Fly,69,32,25,27,Masculino,Mutant,1.93,0,-,-,-,
140,Buffy,Desconocido,B,63,28,42,48,Femenino,Human,1.57,52,Green,Blond,good,Dark Horse Comics
141,Bullseye,Desconocido,Daredevil,50,11,25,20,Masculino,Human,1.83,90,blue,blond,bad,Marvel Comics
142,Bumblebee,Desconocido,No Tiene,63,28,25,47,Femenino,Human,1.7,59,Brown,Black,good,DC Comics
144,Bushido,Desconocido,No Tiene,38,10,8,19,Masculino,Human,0.0,0,-,-,good,DC Comics
145,Cable,Desconocido,Nathan Dayspring Summers,88,48,23,100,Masculino,Mutant,2.03,158,Blue,White,good,Marvel Comics
146,Callisto,Desconocido,No Tiene,63,53,23,52,Femenino,-,1.75,74,Blue,Black,bad,Marvel Comics
147,Cameron Hicks,Desconocido,No Tiene,50,10,23,51,Masculino,Alpha,0.0,0,-,-,good,SyFy
148,Cannonball,Desconocido,Sam Guthrie,50,28,67,94,Masculino,-,1.83,81,Blue,Blond,good,Marvel Comics
149,Captain America,Desconocido,Nomad,69,19,38,60,Masculino,Human,1.88,108,blue,blond,good,Marvel Comics
150,Captain Atom,Desconocido,Allen Adam,81,93,83,100,Masculino,Human / Radiation,1.93,90,Blue,Silver,good,DC Comics
151,Captain Britain,Desconocido,King of Otherworld,75,77,50,31,Masculino,Human,1.98,116,Blue,Blond,good,Marvel Comics
152,Captain Cold,Desconocido,Leonard Snart,50,10,17,28,Masculino,Human,0.0,0,Brown,Brown,neutral,DC Comics
154,Captain Hindsight,Desconocido,No Tiene,25,10,83,10,Masculino,Human,0.0,0,-,Black,good,South Park
156,Captain Marvel,Desconocido,Captain Thunder,88,100,88,100,Masculino,Human,1.93,101,Blue,Black,good,DC Comics
157,Captain Marvel,Desconocido,Warbird,84,88,71,100,Femenino,Human-Kree,1.8,74,Blue,Blond,good,Binary
158,Captain Marvel II,Desconocido,Captain Marvel Jr.,75,81,27,34,Masculino,Human,1.75,74,Blue,Black,good,DC Comics
160,Captain Planet,Desconocido,Planet,50,88,75,100,Masculino,God / Eternal,0.0,0,Red,Green,good,Marvel Comics
162,Carnage,Desconocido,999th,63,63,70,88,Masculino,Symbiote,1.85,86,Green,Red,bad,Marvel Comics
165,Catwoman,Desconocido,Madame Moderne,69,11,33,27,Femenino,Human,1.75,61,Green,Black,good,DC Comics
167,Century,Desconocido,No Tiene,88,80,53,100,Masculino,Alien,2.01,97,White,White,good,Marvel Comics
169,Chamber,Desconocido,Jono,50,10,20,57,Masculino,Mutant,1.75,63,Brown,Brown,good,Marvel Comics
170,Chameleon,Desconocido,Dr. Henry Pym,88,10,12,28,Masculino,-,0.0,0,-,-,bad,DC Comics
171,Changeling,Desconocido,Professor X,63,10,23,64,Masculino,-,1.8,81,Brown,Black,bad,Marvel Comics
172,Cheetah,Desconocido,The Cheetah,38,8,42,32,Femenino,Human,1.63,50,Green,Blond,bad,DC Comics
174,Cheetah III,Desconocido,Sabrina Ballesteros,88,100,88,78,Femenino,Human,1.75,54,Brown,Brown,bad,DC Comics
176,Chuck Norris,Desconocido,Chuck,50,80,47,42,Masculino,-,1.78,0,-,-,good,-
177,Citizen Steel,Desconocido,Uncle Nate,50,95,33,23,Masculino,Human,1.83,170,Green,Red,good,DC Comics
178,Claire Bennet,Desconocido,Claire Butler,38,9,12,90,Femenino,-,0.0,0,Blue,Blond,good,NBC - Heroes
180,Cloak,Desconocido,No Tiene,63,10,47,100,Masculino,-,2.26,70,brown,black,good,Marvel Comics
181,Clock King,Desconocido,Tempus Fugit,75,10,17,7,Masculino,Human,1.78,78,Blue,Black,bad,DC Comics
185,Colossus,Desconocido,The Proletarian,63,83,33,45,Masculino,Mutant,2.26,225,Silver,Black,good,Marvel Comics
186,Copycat,Desconocido,Marguerite,56,10,21,54,Femenino,Mutant,1.83,67,Red,White,neutral,Marvel Comics
188,Cottonmouth,Desconocido,Quincy McIver,50,10,8,27,Masculino,Human,1.83,99,Brown,Black,bad,Marvel Comics
191,Crystal,Desconocido,Crys,63,16,12,61,Femenino,Inhuman,1.68,50,Green,Red,good,Marvel Comics
194,Cyborg,Desconocido,Cyberion Technis,75,53,42,71,Masculino,Cyborg,1.98,173,Brown,Black,good,DC Comics
195,Cyborg Superman,Desconocido,Alpha-Prime of the Alpha Lanterns,75,93,92,100,Masculino,Cyborg,0.0,0,Blue,Black,bad,DC Comics
196,Cyclops,Desconocido,Mutate 007,75,10,23,76,Masculino,Mutant,1.91,88,Brown,Brown,good,Marvel Comics
198,Dagger,Desconocido,Lady Light,63,10,35,52,Femenino,-,0.0,52,Blue,Blond,good,Marvel Comics
200,Daphne Powell,Desconocido,No Tiene,38,10,8,56,Femenino,-,0.0,0,-,-,good,ABC Studios
201,Daredevil,Desconocido,The Guardian Devil,75,13,25,61,Masculino,Human,1.83,90,Blue,Red,good,Marvel Comics
202,Darkhawk,Desconocido,Bucket-Head,50,32,33,74,Masculino,Human,1.85,81,Brown,Brown,good,Marvel Comics
203,Darkman,Desconocido,No Tiene,75,14,23,12,Masculino,-,0.0,0,-,-,good,Universal Studios
204,Darkseid,Desconocido,Dark God,88,100,83,100,Masculino,New God,2.67,817,Red,No Hair,bad,DC Comics
206,Darkstar,Desconocido,Tyomni Zvesda,38,8,35,79,Femenino,Mutant,1.68,56,Brown,Blond,good,Marvel Comics
207,Darth Maul,Desconocido,Master Of The Double-Bladed Lightsaber,56,48,50,100,Masculino,Dathomirian Zabrak,1.7,0,Yellow / Red,-,bad,George Lucas
208,Darth Vader,Desconocido,Lord Vader,69,48,33,100,Masculino,Cyborg,1.98,135,Yellow,No Hair,bad,George Lucas
209,Dash,Desconocido,The Fastest Kid on Earth,25,12,92,20,Masculino,Human,1.22,27,Blue,Blond,good,Dark Horse Comics
210,Data,Desconocido,B-4,100,32,21,56,Masculino,Android,0.0,0,Yellow,Brown,good,Star Trek
211,Dazzler,Desconocido,Ally,63,10,33,100,Femenino,Mutant,1.73,52,Blue,Blond,good,Marvel Comics
212,Deadman,Desconocido,No Tiene,50,10,33,100,Masculino,Human,1.83,90,Blue,Black,good,DC Comics
213,Deadpool,Desconocido,Lopez,69,32,50,100,Masculino,Mutant,1.88,95,Brown,No Hair,neutral,Evil Deadpool
214,Deadshot,Desconocido,Orlando Furioso,50,10,23,55,Masculino,Human,1.85,91,Brown,Brown,bad,DC Comics
215,Deathlok,Desconocido,Demolisher,69,32,30,40,Masculino,Cyborg,1.93,178,Brown,Grey,good,Marvel Comics
216,Deathstroke,Desconocido,Batman,75,30,35,47,Masculino,Human,1.93,101,Blue,White,neutral,DC Comics
217,Demogoblin,Desconocido,Jason Macendale Jr,50,48,42,67,Masculino,Demon,1.85,95,Red,No Hair,bad,Marvel Comics
218,Destroyer,Desconocido,No Tiene,50,95,58,85,Masculino,-,1.88,383,-,-,bad,Marvel Comics
219,Diamondback,Desconocido,No Tiene,44,16,23,45,Masculino,Human,1.93,90,Brown,Black,bad,Marvel Comics
220,DL Hawkins,Desconocido,No Tiene,50,12,12,48,Masculino,-,0.0,0,-,-,good,NBC - Heroes
221,Doc Samson,Desconocido,No Tiene,75,80,33,36,Masculino,Human / Radiation,1.98,171,Blue,Green,good,Marvel Comics
222,Doctor Doom,Desconocido,The Master,100,32,20,100,Masculino,Human,2.01,187,Brown,Brown,bad,Marvel Comics
224,Doctor Fate,Desconocido,Nabu,81,16,25,100,Masculino,Human,1.88,89,Blue,Blond,good,DC Comics
225,Doctor Octopus,Desconocido,Doctor Octopus,94,48,33,53,Masculino,Human,1.75,110,Brown,Brown,bad,Marvel Comics
226,Doctor Strange,Desconocido,Captain Universe,100,10,12,100,Masculino,Human,1.88,81,Grey,Black,good,Marvel Comics
227,Domino,Desconocido,Hope Eldridge,63,10,27,49,Femenino,Human,1.73,54,Blue,Black,good,Marvel Comics
228,Donatello,Desconocido,Donnie,88,14,46,58,Masculino,Mutant,0.0,0,Green,No Hair,good,IDW Publishing
230,Doomsday,Desconocido,The Ultimate Lifeform,75,100,67,100,Masculino,Alien,2.44,412,Red,White,bad,DC Comics
231,Doppelganger,Desconocido,The Spider-Man Doppelganger,8,63,60,69,Masculino,-,1.96,104,White,No Hair,bad,Marvel Comics
232,Dormammu,Desconocido,Lord of Chaos,88,95,83,100,Masculino,-,1.85,0,Yellow,No Hair,bad,Marvel Comics
233,Dr Manhattan,Desconocido,Jon Osterman,88,100,42,100,Masculino,Human / Cosmic,0.0,0,White,No Hair,good,DC Comics
234,Drax the Destroyer,Desconocido,No Tiene,56,80,25,46,Masculino,Human / Altered,1.93,306,Red,No Hair,good,Marvel Comics
235,Ego,Desconocido,The Living Planet,88,80,83,71,No-Binario,-,0.0,0,-,-,bad,Marvel Comics
236,Elastigirl,Desconocido,Mrs Incredible,63,32,33,52,Femenino,Human,1.68,56,Brown,Brown,good,Dark Horse Comics
237,Electro,Desconocido,No Tiene,69,10,50,67,Masculino,Human,1.8,74,Blue,Auburn,bad,Marvel Comics
238,Elektra,Desconocido,Erynys (evil self),63,11,30,59,Femenino,Human,1.75,59,Blue,Black,good,Marvel Comics
239,Elle Bishop,Desconocido,Cindy,50,8,12,63,Femenino,-,0.0,0,Blue,Blond,bad,NBC - Heroes
240,Elongated Man,Desconocido,Alvin Burgson; Molder,75,10,33,44,Masculino,-,1.85,80,Blue,Red,good,DC Comics
241,Emma Frost,Desconocido,White Queen,75,63,35,100,Femenino,-,1.78,65,Blue,Blond,good,Marvel Comics
242,Enchantress,Desconocido,Soulsinger,63,14,25,100,Femenino,Human,1.68,57,Blue,Blond,good,DC Comics
245,Ethan Hunt,Desconocido,No Tiene,75,11,29,26,Masculino,Human,1.68,0,Brown,Brown,good,-
246,Etrigan,Desconocido,Demon,50,85,17,100,Masculino,Demon,1.93,203,Red,No Hair,neutral,DC Comics
247,Evil Deadpool,Desconocido,Dreadpool,69,32,50,100,Masculino,Mutant,1.88,95,White,Red,bad,Deadpool
248,Evilhawk,Desconocido,No Tiene,50,32,33,85,Masculino,Alien,1.91,106,Red,Black,bad,Marvel Comics
249,Exodus,Desconocido,Paris Bennet,63,81,28,100,Masculino,Mutant,1.83,88,Blue,Black,bad,Marvel Comics
251,Falcon,Desconocido,Brother Superhero,38,13,50,22,Masculino,Human,1.88,108,Brown,Black,good,Marvel Comics
